"00921",18.39,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00922",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00923",18.41,-66.03,"SAN JUAN","PUERTO RICO","PR"
"00924",18.39,-66.01,"SAN JUAN","PUERTO RICO","PR"
"00925",18.40,-66.04,"SAN JUAN","PUERTO RICO","PR"
"00926",18.36,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00927",18.38,-66.07,"SAN JUAN","PUERTO RICO","PR"
"00928",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00929",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00930",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00931",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00933",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00934",18.34,-66.16,"FORT BUCHANAN","PUERTO RICO","PR"
"00935",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00936",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00937",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00938",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00939",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00940",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00949",18.43,-66.19,"TOA BAJA","PUERTO RICO","PR"
"00950",18.45,-66.19,"TOA BAJA","PUERTO RICO","PR"
"00951",18.45,-66.19,"TOA BAJA","PUERTO RICO","PR"
"00952",18.45,-66.19,"SABANA SECA","PUERTO RICO","PR"
"00953",18.35,-66.25,"TOA ALTA","PUERTO RICO","PR"
"00954",18.35,-66.25,"TOA ALTA","PUERTO RICO","PR"
"00955",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00956",18.32,-66.17,"BAYAMON","PUERTO RICO","PR"
"00957",18.36,-66.18,"BAYAMON","PUERTO RICO","PR"
"00958",18.34,-66.16,"BAYAMON","PUERTO RICO","PR"
"00959",18.38,-66.15,"BAYAMON","PUERTO RICO","PR"
"00960",18.34,-66.16,"BAYAMON","PUERTO RICO","PR"
"00961",18.41,-66.16,"BAYAMON","PUERTO RICO","PR"
"00962",18.43,-66.14,"CATANO","PUERTO RICO","PR"
"00963",18.44,-66.13,"CATANO","PUERTO RICO","PR"
"00965",18.42,-66.11,"GUAYNABO","PUERTO RICO","PR"
"00966",18.39,-66.11,"GUAYNABO","PUERTO RICO","PR"
"00968",18.41,-66.06,"GUAYNABO","PUERTO RICO","PR"
"00969",18.36,-66.11,"GUAYNABO","PUERTO RICO","PR"
"00970",18.35,-66.11,"GUAYNABO","PUERTO RICO","PR"
"00971",18.30,-66.11,"GUAYNABO","PUERTO RICO","PR"
"00975",18.41,-66.06,"SAN JUAN","PUERTO RICO","PR"
"00976",18.33,-65.98,"TRUJILLO ALTO","PUERTO RICO","PR"
"00977",18.33,-65.99,"TRUJILLO ALTO","PUERTO RICO","PR"
"00978",18.33,-65.99,"SAINT JUST","PUERTO RICO","PR"
"00979",18.41,-66.06,"CAROLINA","PUERTO RICO","PR"
"00981",18.41,-66.06,"CAROLINA","PUERTO RICO","PR"
"00982",18.41,-66.06,"CAROLINA","PUERTO RICO","PR"
"00983",18.41,-65.97,"CAROLINA","PUERTO RICO","PR"
"00984",18.39,-65.97,"CAROLINA","PUERTO RICO","PR"
"00985",18.34,-65.93,"CAROLINA","PUERTO RICO","PR"
"00986",18.39,-65.97,"CAROLINA","PUERTO RICO","PR"
"00987",18.37,-65.95,"CAROLINA","PUERTO RICO","PR"
"00988",18.39,-65.97,"CAROLINA","PUERTO RICO","PR"
"01001",42.07,-72.61,"AGAWAM","MASSACHUSETTS","MA"
"01002",42.37,-72.44,"AMHERST","MASSACHUSETTS","MA"
"01003",42.39,-72.52,"AMHERST","MASSACHUSETTS","MA"
"01004",42.37,-72.53,"AMHERST","MASSACHUSETTS","MA"
"01005",42.42,-72.10,"BARRE","MASSACHUSETTS","MA"
